Descrip,CaseID,Agency,Date,Location,City,State,latitude,longitude,LatLong
NON-AGGRAVATED ASSAULT,20140603-1434-00,Charlotte-Mecklenburg Police,6/3/2014 14:34,2200 BLOCK LAWRY RUN DR,Charlotte,North Carolina,35.162574,-80.924428,35.162574:-80.924428
DRIVING WHILE IMPAIRED,20140603-1434-01,Charlotte-Mecklenburg Police,6/3/2014 14:34,1400 BLOCK S WENDOVER RD,Charlotte,North Carolina,35.181728,-80.81292,35.181728:-80.81292
AUTO THEFT,20140603-1429-00,Charlotte-Mecklenburg Police,6/3/2014 14:29,4100 BLOCK RENTAL CAR RD,Charlotte,North Carolina,35.226253,-80.946783,35.226253:-80.946783
SUSPICIOUS VEHICLE,O0603142902,Charlotte-Mecklenburg Police,6/3/2014 14:29,9500 BLOCK UNIVERSITY TERRACE DR,Charlotte,North Carolina,35.308468,-80.723105,35.308468:-80.723105
SUSPICIOUS PERSON,O0603142703,Charlotte-Mecklenburg Police,6/3/2014 14:27,CHOLLYWOOD DR & PINEWOOD CR,Charlotte,North Carolina,35.181477,-80.820131,35.181477:-80.820131
FRAUD,20140603-1423-03,Charlotte-Mecklenburg Police,6/3/2014 14:23,10700 BLOCK STEELE CREEK RD,Charlotte,North Carolina,35.146829,-80.974982,35.146829:-80.974982
LARCENY-SHOPLIFTING,20140603-1419-01,Charlotte-Mecklenburg Police,6/3/2014 14:19,3200 BLOCK WILKINSON BV,Charlotte,North Carolina,35.224448,-80.892821,35.224448:-80.892821
SUSPICIOUS PERSON,O0603141500,Charlotte-Mecklenburg Police,6/3/2014 14:15,9800 BLOCK REA RD,Charlotte,North Carolina,35.036336,-80.804917,35.036336:-80.804917
NON-AGGRAVATED ASSAULT,20140603-1409-00,Charlotte-Mecklenburg Police,6/3/2014 14:09,5900 BLOCK SOUTH BV,Charlotte,North Carolina,35.156054,-80.876221,35.156054:-80.876221
LARCENY FROM AUTO,20140603-1407-01,Charlotte-Mecklenburg Police,6/3/2014 14:07,1000 BLOCK N TRYON ST,Charlotte,North Carolina,35.234225,-80.833346,35.234225:-80.833346
SUSPICIOUS PERSON,O0603140602,Charlotte-Mecklenburg Police,6/3/2014 14:06,700 BLOCK W TRADE ST,Charlotte,North Carolina,35.232434,-80.848615,35.232434:-80.848615
FRAUD,20140603-1401-00,Charlotte-Mecklenburg Police,6/3/2014 14:01,5300 BLOCK ARTESA CT,Charlotte,North Carolina,35.263599,-80.953922,35.263599:-80.953922
VANDALISM,20140603-1400-01,Charlotte-Mecklenburg Police,6/3/2014 14:00,4800 BLOCK SIRONA DR,Charlotte,North Carolina,35.168851,-80.944494,35.168851:-80.944494
LARCENY-OTHER,20140603-1358-01,Charlotte-Mecklenburg Police,6/3/2014 13:58,7700 BLOCK COLONY RD,Charlotte,North Carolina,35.10868,-80.807469,35.10868:-80.807469
LARCENY-OTHER,20140603-1357-01,Charlotte-Mecklenburg Police,6/3/2014 13:57,8100 BLOCK UNIVERSITY CITY BV,Charlotte,North Carolina,35.300283,-80.733691,35.300283:-80.733691
LARCENY-OTHER,20140603-1355-02,Huntersville Police,6/3/2014 13:55,10300 BLOCK REMEMBRANCE TL,Charlotte,North Carolina,35.227087,-80.843127,35.227087:-80.843127
NON-AGGRAVATED ASSAULT,20140603-1347-01,Charlotte-Mecklenburg Police,6/3/2014 13:47,500 BLOCK KENTBERRY DR,Charlotte,North Carolina,35.303957,-80.94467,35.303957:-80.94467
MFG./SALE OF MARIJUANA,20140603-1347-00,Charlotte-Mecklenburg Police,6/3/2014 13:47,1400 BLOCK EASTCREST DR,Charlotte,North Carolina,35.213131,-80.794127,35.213131:-80.794127
SUSPICIOUS VEHICLE,O0603134500,Charlotte-Mecklenburg Police,6/3/2014 13:45,9100 BLOCK SPYGLASS PL,Charlotte,North Carolina,35.263606,-80.959398,35.263606:-80.959398
DISORDERLY CONDUCT-AFFRAY/OTHER,20140603-1344-06,Charlotte-Mecklenburg Police,6/3/2014 13:44,7200 BLOCK HIGHLAND CREEK PY,Charlotte,North Carolina,35.227087,-80.843127,35.227087:-80.843127
COUNTERFEITING,20140603-1341-07,Charlotte-Mecklenburg Police,6/3/2014 13:41,1800 BLOCK S TRYON ST,Charlotte,North Carolina,35.214019,-80.862479,35.214019:-80.862479
NON-AGGRAVATED ASSAULT,20140603-1341-06,Charlotte-Mecklenburg Police,6/3/2014 13:41,1900 BLOCK GRIER AV,Charlotte,North Carolina,35.256032,-80.851398,35.256032:-80.851398
FRAUD,20140603-1338-01,Charlotte-Mecklenburg Police,6/3/2014 13:38,6900 BLOCK REA CROFT DR,Charlotte,North Carolina,35.10352,-80.807955,35.10352:-80.807955
RESIDENTIAL BURGLARY,20140603-1335-00,Charlotte-Mecklenburg Police,6/3/2014 13:35,4800 BLOCK BRYN ATHYN CT,Charlotte,North Carolina,35.28606,-80.828472,35.28606:-80.828472
LARCENY-SHOPLIFTING,20140603-1335-02,Charlotte-Mecklenburg Police,6/3/2014 13:35,4400 BLOCK SHARON RD,Charlotte,North Carolina,35.153939,-80.831755,35.153939:-80.831755
LARCENY-OTHER,20140603-1330-00,Charlotte-Mecklenburg Police,6/3/2014 13:30,4800 BLOCK N SHARON AMITY RD,Charlotte,North Carolina,35.224315,-80.748616,35.224315:-80.748616
LARCENY-SHOPLIFTING,20140603-1328-01,Huntersville Police,6/3/2014 13:28,11100 BLOCK BRYTON TOWN CENTER DR,Charlotte,North Carolina,35.371852,-80.827701,35.371852:-80.827701
SUSPICIOUS PERSON,O0603131306,Charlotte-Mecklenburg Police,6/3/2014 13:13,600 BLOCK CRATER ST,Charlotte,North Carolina,35.199042,-80.7871,35.199042:-80.7871
SUSPICIOUS PERSON,O0603130901,Charlotte-Mecklenburg Police,6/3/2014 13:09,PRESSLEY RD & ROSE THORN PL,Charlotte,North Carolina,35.195323,-80.894526,35.195323:-80.894526
FRAUD,20140603-1306-05,Charlotte-Mecklenburg Police,6/3/2014 13:06,3700 BLOCK KADEY DR,Charlotte,North Carolina,35.248001,-80.884777,35.248001:-80.884777
NON-AGGRAVATED ASSAULT,20140603-1259-02,Charlotte-Mecklenburg Police,6/3/2014 12:59,1900 BLOCK NEWCASTLE ST,Charlotte,North Carolina,35.258935,-80.842331,35.258935:-80.842331
SUSPICIOUS PERSON,O0603125900,Charlotte-Mecklenburg Police,6/3/2014 12:59,7400 BLOCK PENCE RD,Charlotte,North Carolina,35.223588,-80.706492,35.223588:-80.706492
AUTO THEFT,20140603-1258-04,Charlotte-Mecklenburg Police,6/3/2014 12:58,6000 BLOCK E INDEPENDENCE BV,Charlotte,North Carolina,35.180233,-80.75402,35.180233:-80.75402
RESIDENTIAL BURGLARY,20140603-1257-02,Charlotte-Mecklenburg Police,6/3/2014 12:57,900 BLOCK BEAL ST,Charlotte,North Carolina,35.190573,-80.795328,35.190573:-80.795328
FRAUD,20140603-1233-02,Charlotte-Mecklenburg Police,6/3/2014 12:33,200 BLOCK N PINE ST,Charlotte,North Carolina,35.230594,-80.844877,35.230594:-80.844877
LARCENY-OTHER,20140603-1230-02,Charlotte-Mecklenburg Police,6/3/2014 12:30,2700 BLOCK HUTCHISON-MCDONALD RD,Charlotte,North Carolina,35.281534,-80.845289,35.281534:-80.845289
CONCEALED WEAPON-OTHER,20140603-1222-00,Charlotte-Mecklenburg Police,6/3/2014 12:22,4400 BLOCK DENVER AV,Charlotte,North Carolina,35.229444,-80.910802,35.229444:-80.910802
FRAUD,20140603-1213-01,Charlotte-Mecklenburg Police,6/3/2014 12:13,13800 BLOCK TRANTERS CREEK LN,Charlotte,North Carolina,35.110056,-80.980278,35.110056:-80.980278
SUSPICIOUS VEHICLE,O0603121100,Charlotte-Mecklenburg Police,6/3/2014 12:11,9000 BLOCK BELLE BRAGG WY,Charlotte,North Carolina,35.289381,-80.953586,35.289381:-80.953586
SUSPICIOUS VEHICLE,O0603121000,Charlotte-Mecklenburg Police,6/3/2014 12:10,9800 BLOCK LONG VIEW CLUB LN,Charlotte,North Carolina,35.33936,-80.854873,35.33936:-80.854873
NON-AGGRAVATED ASSAULT,20140603-1207-00,Charlotte-Mecklenburg Police,6/3/2014 12:07,2400 BLOCK CARMINE ST,Charlotte,North Carolina,35.266835,-80.841997,35.266835:-80.841997
COMMERCIAL BURGLARY,20140603-1204-00,Charlotte-Mecklenburg Police,6/3/2014 12:04,800 BLOCK E ARROWOOD RD,Charlotte,North Carolina,35.137169,-80.878816,35.137169:-80.878816
COMMERCIAL BURGLARY,20140603-1202-01,Charlotte-Mecklenburg Police,6/3/2014 12:02,10300 BLOCK TURKEY POINT DR,Charlotte,North Carolina,35.305725,-80.992212,35.305725:-80.992212
SUSPICIOUS VEHICLE,O0603120001,Charlotte-Mecklenburg Police,6/3/2014 12:00,4800 BLOCK TUCKASEEGEE RD,Charlotte,North Carolina,35.247941,-80.905237,35.247941:-80.905237
SUSPICIOUS PERSON,O0603115702,Charlotte-Mecklenburg Police,6/3/2014 11:57,1100 BLOCK QUEENS RD,Charlotte,North Carolina,35.199936,-80.831572,35.199936:-80.831572
NON-AGGRAVATED ASSAULT,20140603-1148-01,Charlotte-Mecklenburg Police,6/3/2014 11:48,2600 BLOCK OLD STEELE CREEK RD,Charlotte,North Carolina,35.216705,-80.905629,35.216705:-80.905629
VANDALISM,20140603-1144-04,Charlotte-Mecklenburg Police,6/3/2014 11:44,100 BLOCK E WOODLAWN RD,Charlotte,North Carolina,35.178693,-80.883284,35.178693:-80.883284
POSSESSION OF MARIJUANA,20140603-1142-00,Charlotte-Mecklenburg Police,6/3/2014 11:42,11100 BLOCK WILLOW MEADOW LN,Charlotte,North Carolina,35.054171,-80.862407,35.054171:-80.862407
FORGERY,20140603-1141-04,Charlotte-Mecklenburg Police,6/3/2014 11:41,3800 BLOCK BEATTIES FORD RD,Charlotte,North Carolina,35.285042,-80.858172,35.285042:-80.858172
VANDALISM,20140603-1140-06,Charlotte-Mecklenburg Police,6/3/2014 11:40,3200 BLOCK OAK LAKE BV,Charlotte,North Carolina,35.1922,-80.926314,35.1922:-80.926314
LARCENY FROM BUILDING,20140603-1134-00,Charlotte-Mecklenburg Police,6/3/2014 11:34,200 BLOCK EASTWAY DR,Charlotte,North Carolina,35.257823,-80.778004,35.257823:-80.778004
VANDALISM,20140603-1134-02,Charlotte-Mecklenburg Police,6/3/2014 11:34,16000 BLOCK LANCASTER HY,Charlotte,North Carolina,35.030567,-80.853678,35.030567:-80.853678
RESIDENTIAL BURGLARY,20140603-1132-02,Charlotte-Mecklenburg Police,6/3/2014 11:32,600 BLOCK GENTRY PL,Charlotte,North Carolina,35.167633,-80.863571,35.167633:-80.863571
NON-AGGRAVATED ASSAULT,20140603-1130-00,Charlotte-Mecklenburg Police,6/3/2014 11:30,4700 BLOCK MONROE RD,Charlotte,North Carolina,35.193639,-80.782295,35.193639:-80.782295
VANDALISM,20140603-1128-01,Charlotte-Mecklenburg Police,6/3/2014 11:28,1600 BLOCK TERMINI DR,Charlotte,North Carolina,35.294775,-80.789893,35.294775:-80.789893
FRAUD,20140603-1120-02,Charlotte-Mecklenburg Police,6/3/2014 11:20,4400 BLOCK N TRYON ST,Charlotte,North Carolina,35.257138,-80.792561,35.257138:-80.792561
TRESPASS,20140603-1119-03,Charlotte-Mecklenburg Police,6/3/2014 11:19,5700 BLOCK E INDEPENDENCE BV,Charlotte,North Carolina,35.181573,-80.755234,35.181573:-80.755234
SUSPICIOUS VEHICLE,O0603111901,Charlotte-Mecklenburg Police,6/3/2014 11:19,EDGEWOOD RD & BRADFORD DR,Charlotte,North Carolina,35.25051,-80.898881,35.25051:-80.898881
LARCENY-OTHER,20140603-1117-03,Charlotte-Mecklenburg Police,6/3/2014 11:17,4200 BLOCK FRANK VANCE RD,Charlotte,North Carolina,35.326372,-80.867085,35.326372:-80.867085
LARCENY-SHOPLIFTING,20140603-1115-01,Charlotte-Mecklenburg Police,6/3/2014 11:15,3200 BLOCK WILKINSON BV,Charlotte,North Carolina,35.224448,-80.892821,35.224448:-80.892821
NON-AGGRAVATED ASSAULT,20140603-1114-01,Charlotte-Mecklenburg Police,6/3/2014 11:14,100 BLOCK ORCHARD TRACE LN,Charlotte,North Carolina,35.281612,-80.767617,35.281612:-80.767617
RESIDENTIAL BURGLARY,20140603-1113-02,Charlotte-Mecklenburg Police,6/3/2014 11:13,3900 BLOCK RIVERBEND RD,Charlotte,North Carolina,35.130826,-80.850466,35.130826:-80.850466
NON-AGGRAVATED ASSAULT,20140603-1112-05,Charlotte-Mecklenburg Police,6/3/2014 11:12,4900 BLOCK CENTRAL AV,Charlotte,North Carolina,35.211405,-80.761207,35.211405:-80.761207
LARCENY-OTHER,20140603-1110-00,Charlotte-Mecklenburg Police,6/3/2014 11:10,2400 BLOCK BELFAST DR,Charlotte,North Carolina,35.231973,-80.891469,35.231973:-80.891469
SUSPICIOUS PERSON,O0603110203,Charlotte-Mecklenburg Police,6/3/2014 11:02,10300 BLOCK CRESTWOOD DR,Charlotte,North Carolina,35.066738,-80.781035,35.066738:-80.781035
LARCENY-OTHER,20140603-1100-06,Charlotte-Mecklenburg Police,6/3/2014 11:00,1900 BLOCK CAMDEN RD,Charlotte,North Carolina,35.211594,-80.859656,35.211594:-80.859656
LARCENY-SHOPLIFTING,20140603-1058-02,Charlotte-Mecklenburg Police,6/3/2014 10:58,3200 BLOCK WILKINSON BV,Charlotte,North Carolina,35.224448,-80.892821,35.224448:-80.892821
SUSPICIOUS PERSON,O0603105500,Charlotte-Mecklenburg Police,6/3/2014 10:55,3400 BLOCK GRIFFITH ST,Charlotte,North Carolina,35.203296,-80.875221,35.203296:-80.875221
LARCENY-OTHER,20140603-1053-01,Charlotte-Mecklenburg Police,6/3/2014 10:53,10200 BLOCK BERKELEY PLACE DR,Charlotte,North Carolina,35.326662,-80.742001,35.326662:-80.742001
LARCENY-OTHER,20140603-1049-01,Charlotte-Mecklenburg Police,6/3/2014 10:49,100 BLOCK ECHODALE DR,Charlotte,North Carolina,35.157125,-80.896949,35.157125:-80.896949
FRAUD,20140603-1045-02,Charlotte-Mecklenburg Police,6/3/2014 10:45,5500 BLOCK JOSH BIRMINGHAM PY,Charlotte,North Carolina,35.227087,-80.843127,35.227087:-80.843127
NON-AGGRAVATED ASSAULT,20140603-1045-01,Charlotte-Mecklenburg Police,6/3/2014 10:45,5100 BLOCK CORONADO DR,Charlotte,North Carolina,35.191889,-80.756288,35.191889:-80.756288
SUSPICIOUS VEHICLE,O0603104000,Charlotte-Mecklenburg Police,6/3/2014 10:40,1200 BLOCK EAGLE ROCK LN,Charlotte,North Carolina,35.269428,-80.926985,35.269428:-80.926985
LARCENY OF BICYCLE,20140603-1037-04,Charlotte-Mecklenburg Police,6/3/2014 10:37,900 BLOCK GARDEN DISTRICT DR,Charlotte,North Carolina,35.225685,-80.830354,35.225685:-80.830354
LARCENY FROM AUTO,20140603-1031-01,Charlotte-Mecklenburg Police,6/3/2014 10:31,2700 BLOCK CROSS POINT CR,Charlotte,North Carolina,35.154085,-80.729007,35.154085:-80.729007
CONCEALED WEAPON-FIREARM,20140603-1029-05,Charlotte-Mecklenburg Police,6/3/2014 10:29,5800 BLOCK REDDMAN,Charlotte,North Carolina,35.20113,-80.751172,35.20113:-80.751172
SUSPICIOUS VEHICLE,O0603102401,Charlotte-Mecklenburg Police,6/3/2014 10:24,1800 BLOCK PEWSBURY RD,Charlotte,North Carolina,35.114938,-80.871421,35.114938:-80.871421
FRAUD,20140603-1022-05,Charlotte-Mecklenburg Police,6/3/2014 10:22,6000 BLOCK PRESTON LN,Charlotte,North Carolina,35.154375,-80.784897,35.154375:-80.784897
LARCENY-OTHER,20140603-1012-00,Charlotte-Mecklenburg Police,6/3/2014 10:12,1400 BLOCK TARRINGTON AV,Charlotte,North Carolina,35.203603,-80.767795,35.203603:-80.767795
LARCENY FROM AUTO,20140603-1010-06,Charlotte-Mecklenburg Police,6/3/2014 10:10,5200 BLOCK MISTY OAKS DR,Charlotte,North Carolina,35.331854,-80.815405,35.331854:-80.815405
NON-AGGRAVATED ASSAULT,20140603-1000-00,Charlotte-Mecklenburg Police,6/3/2014 10:00,1100 BLOCK WEST BV,Charlotte,North Carolina,35.217591,-80.874708,35.217591:-80.874708
NON-AGGRAVATED ASSAULT,20140603-0955-00,Huntersville Police,6/3/2014 9:55,14500 BLOCK RANSON RD,Charlotte,North Carolina,35.410168,-80.874573,35.410168:-80.874573
SUSPICIOUS PERSON,O0603094901,Charlotte-Mecklenburg Police,6/3/2014 9:49,7400 BLOCK STERLING HAVEN RD,Charlotte,North Carolina,35.217187,-80.694651,35.217187:-80.694651
MFG./SALE OF MARIJUANA,20140603-0945-01,Charlotte-Mecklenburg Police,6/3/2014 9:45,900 BLOCK N COLLEGE ST,Charlotte,North Carolina,35.232159,-80.832612,35.232159:-80.832612
LARCENY FROM AUTO,20140603-0941-02,Charlotte-Mecklenburg Police,6/3/2014 9:41,4000 BLOCK COLONY PARKWAY DR,Charlotte,North Carolina,35.15686,-80.827693,35.15686:-80.827693
FRAUD,20140603-0937-00,Charlotte-Mecklenburg Police,6/3/2014 9:37,200 BLOCK N CHURCH ST,Charlotte,North Carolina,35.228934,-80.842984,35.228934:-80.842984
NON-AGGRAVATED ASSAULT,20140603-0936-01,Charlotte-Mecklenburg Police,6/3/2014 9:36,2400 BLOCK CARMINE ST,Charlotte,North Carolina,35.266835,-80.841997,35.266835:-80.841997
POSSESSION OF MARIJUANA,20140603-0934-02,Charlotte-Mecklenburg Police,6/3/2014 9:34,2400 BLOCK TOOMEY AV,Charlotte,North Carolina,35.211218,-80.87265,35.211218:-80.87265
RESIDENTIAL BURGLARY,20140603-0931-04,Charlotte-Mecklenburg Police,6/3/2014 9:31,4400 BLOCK FREEDOM DR,Charlotte,North Carolina,35.256921,-80.908815,35.256921:-80.908815
SUSPICIOUS VEHICLE,O0603092504,Charlotte-Mecklenburg Police,6/3/2014 9:25,2600 BLOCK E 7TH ST,Charlotte,North Carolina,35.205467,-80.810837,35.205467:-80.810837
AUTO THEFT,20140603-0923-02,Charlotte-Mecklenburg Police,6/3/2014 9:23,17900 BLOCK HALTON PARK DR,Charlotte,North Carolina,35.315462,-80.706089,35.315462:-80.706089
COMMERCIAL BURGLARY,20140603-0918-07,Charlotte-Mecklenburg Police,6/3/2014 9:18,1900 BLOCK PATRIOT DR,Charlotte,North Carolina,35.196502,-80.685294,35.196502:-80.685294
VANDALISM,20140603-0905-01,Charlotte-Mecklenburg Police,6/3/2014 9:05,400 BLOCK W SUGAR CREEK RD,Charlotte,North Carolina,35.264085,-80.793839,35.264085:-80.793839
LARCENY FROM AUTO,20140603-0848-02,Charlotte-Mecklenburg Police,6/3/2014 8:48,1300 BLOCK IVY MEADOW DR,Charlotte,North Carolina,35.292144,-80.728961,35.292144:-80.728961
SUSPICIOUS VEHICLE,O0603084104,Charlotte-Mecklenburg Police,6/3/2014 8:41,3400 BLOCK THE PLAZA,Charlotte,North Carolina,35.24212,-80.795134,35.24212:-80.795134
SUSPICIOUS PERSON,O0603084105,Charlotte-Mecklenburg Police,6/3/2014 8:41,1700 BLOCK LOMBARDY CR,Charlotte,North Carolina,35.198888,-80.838563,35.198888:-80.838563
AUTO THEFT,20140603-0836-01,Charlotte-Mecklenburg Police,6/3/2014 8:36,2600 BLOCK TUCKASEEGEE RD,Charlotte,North Carolina,35.23855,-80.875212,35.23855:-80.875212
LARCENY FROM AUTO,20140603-0825-01,Charlotte-Mecklenburg Police,6/3/2014 8:25,7300 BLOCK HAGEN CT,Charlotte,North Carolina,35.304903,-80.769398,35.304903:-80.769398
POSSESSION OF MARIJUANA,20140603-0819-04,Charlotte-Mecklenburg Police,6/3/2014 8:19,4000 BLOCK MONROE RD,Charlotte,North Carolina,35.197096,-80.793526,35.197096:-80.793526
LARCENY-SHOPLIFTING,20140603-0813-04,Charlotte-Mecklenburg Police,6/3/2014 8:13,4800 BLOCK CENTRAL AV,Charlotte,North Carolina,35.211766,-80.762464,35.211766:-80.762464
LARCENY FROM AUTO,20140603-0803-00,Charlotte-Mecklenburg Police,6/3/2014 8:03,500 BLOCK BARTON CREEK DR,Charlotte,North Carolina,35.316721,-80.74346,35.316721:-80.74346
RESIDENTIAL BURGLARY,20140603-0802-00,Charlotte-Mecklenburg Police,6/3/2014 8:02,600 BLOCK GRANDIN RD,Charlotte,North Carolina,35.232985,-80.862591,35.232985:-80.862591
AUTO THEFT,20140603-0753-00,Charlotte-Mecklenburg Police,6/3/2014 7:53,3200 BLOCK N DAVIDSON ST,Charlotte,North Carolina,35.246906,-80.805538,35.246906:-80.805538
LARCENY-SHOPLIFTING,20140603-0739-02,Charlotte-Mecklenburg Police,6/3/2014 7:39,4800 BLOCK CENTRAL AV,Charlotte,North Carolina,35.211766,-80.762464,35.211766:-80.762464
SUSPICIOUS PERSON,O0603073904,Charlotte-Mecklenburg Police,6/3/2014 7:39,3000 BLOCK CROSBY RD,Charlotte,North Carolina,35.171255,-80.804886,35.171255:-80.804886
LARCENY FROM AUTO,20140603-0737-02,Charlotte-Mecklenburg Police,6/3/2014 7:37,5100 BLOCK N TRYON ST,Charlotte,North Carolina,35.257977,-80.780779,35.257977:-80.780779
VANDALISM,20140603-0728-00,Charlotte-Mecklenburg Police,6/3/2014 7:28,11400 BLOCK NORTHWOODS FOREST DR,Charlotte,North Carolina,35.311777,-80.974818,35.311777:-80.974818
RESIDENTIAL BURGLARY,20140603-0719-04,Charlotte-Mecklenburg Police,6/3/2014 7:19,4500 BLOCK BRADBURY DR,Charlotte,North Carolina,35.171698,-80.858134,35.171698:-80.858134
RESIDENTIAL BURGLARY,20140603-0713-03,Charlotte-Mecklenburg Police,6/3/2014 7:13,600 BLOCK REEVES CT,Charlotte,North Carolina,35.260097,-80.889386,35.260097:-80.889386
SUSPICIOUS PERSON,O0603070401,Charlotte-Mecklenburg Police,6/3/2014 7:04,500 BLOCK ARROWHAWK DR,Charlotte,North Carolina,35.137835,-80.884026,35.137835:-80.884026
AUTO THEFT,20140603-0636-01,Charlotte-Mecklenburg Police,6/3/2014 6:36,8000 BLOCK WOODSCAPE DR,Charlotte,North Carolina,35.163106,-80.74822,35.163106:-80.74822
AUTO THEFT,20140603-0626-01,Charlotte-Mecklenburg Police,6/3/2014 6:26,17900 BLOCK HALTON PARK DR,Charlotte,North Carolina,35.315462,-80.706089,35.315462:-80.706089
NON-AGGRAVATED ASSAULT,20140603-0620-00,Charlotte-Mecklenburg Police,6/3/2014 6:20,7700 BLOCK WATERFORD SQUARE,Charlotte,North Carolina,35.092898,-80.846205,35.092898:-80.846205
SUSPICIOUS PERSON,O0603053600,Charlotte-Mecklenburg Police,6/3/2014 5:36,4500 BLOCK SPRINGVIEW RD,Charlotte,North Carolina,35.261886,-80.789938,35.261886:-80.789938
NON-AGGRAVATED ASSAULT,20140603-0511-00,Charlotte-Mecklenburg Police,6/3/2014 5:11,7200 BLOCK WALLACE RD,Charlotte,North Carolina,35.174549,-80.75053,35.174549:-80.75053
SUSPICIOUS VEHICLE,O0603050400,Charlotte-Mecklenburg Police,6/3/2014 5:04,8900 BLOCK AVEBURY DR,Charlotte,North Carolina,35.288875,-80.725,35.288875:-80.725
SUSPICIOUS VEHICLE,O0603042101,Charlotte-Mecklenburg Police,6/3/2014 4:21,4300 BLOCK SUNSET RD,Charlotte,North Carolina,35.305324,-80.856999,35.305324:-80.856999
VANDALISM,20140603-0407-00,Charlotte-Mecklenburg Police,6/3/2014 4:07,5700 BLOCK LEAKE ST,Charlotte,North Carolina,35.207998,-80.917108,35.207998:-80.917108
SUSPICIOUS PERSON,O0603035205,Charlotte-Mecklenburg Police,6/3/2014 3:52,9700 BLOCK GROVE CREST LN,Charlotte,North Carolina,35.316578,-80.746422,35.316578:-80.746422
NON-AGGRAVATED ASSAULT,20140603-0351-00,Charlotte-Mecklenburg Police,6/3/2014 3:51,1100 BLOCK SWEARNGAN RIDGE CT,Charlotte,North Carolina,35.290758,-80.881352,35.290758:-80.881352
AGGRAVATED ASSAULT-GUN,20140603-0336-00,Charlotte-Mecklenburg Police,6/3/2014 3:36,5200 BLOCK BEAM LAKE RD,Charlotte,North Carolina,35.2936,-80.882278,35.2936:-80.882278
SUSPICIOUS PERSON,O0603031502,Charlotte-Mecklenburg Police,6/3/2014 3:15,6600 BLOCK WISTERIA DR,Charlotte,North Carolina,35.144761,-80.873915,35.144761:-80.873915
ARMED ROBBERY,20140603-0245-04,Charlotte-Mecklenburg Police,6/3/2014 2:45,2900 BLOCK SELWYN AV,Charlotte,North Carolina,35.173797,-80.840537,35.173797:-80.840537
SUSPICIOUS VEHICLE,O0603023802,Charlotte-Mecklenburg Police,6/3/2014 2:38,5300 BLOCK MONROE RD,Charlotte,North Carolina,35.189966,-80.774248,35.189966:-80.774248
SUSPICIOUS PERSON,O0603022702,Charlotte-Mecklenburg Police,6/3/2014 2:27,11000 BLOCK EDUCATION WY,Charlotte,North Carolina,35.318502,-80.727778,35.318502:-80.727778
ARMED ROBBERY,20140603-0156-01,Charlotte-Mecklenburg Police,6/3/2014 1:56,2400 BLOCK STATESVILLE AV,Charlotte,North Carolina,35.253735,-80.83569,35.253735:-80.83569
VANDALISM,20140603-0151-03,Charlotte-Mecklenburg Police,6/3/2014 1:51,1200 BLOCK GRETNA GREEN DR,Charlotte,North Carolina,35.157103,-80.918757,35.157103:-80.918757
RESIDENTIAL BURGLARY,20140603-0142-01,Charlotte-Mecklenburg Police,6/3/2014 1:42,11300 BLOCK DULIN CREEK BV,Charlotte,North Carolina,35.254023,-80.679937,35.254023:-80.679937
SUSPICIOUS VEHICLE,O0603014002,Charlotte-Mecklenburg Police,6/3/2014 1:40,900 BLOCK N COLLEGE ST,Charlotte,North Carolina,35.232159,-80.832612,35.232159:-80.832612
NON-AGGRAVATED ASSAULT,20140603-0131-00,Charlotte-Mecklenburg Police,6/3/2014 1:31,8200 BLOCK THORNHAVEN CT,Charlotte,North Carolina,35.210571,-80.730524,35.210571:-80.730524
LARCENY-SHOPLIFTING,20140603-0051-01,Charlotte-Mecklenburg Police,6/3/2014 0:51,4500 BLOCK SUNSET RD,Charlotte,North Carolina,35.306301,-80.853134,35.306301:-80.853134
SUSPICIOUS VEHICLE,O0603005002,Charlotte-Mecklenburg Police,6/3/2014 0:50,N CALDWELL ST & E 7TH ST,Charlotte,North Carolina,35.226088,-80.835671,35.226088:-80.835671
LARCENY-OTHER,20140603-0041-04,Charlotte-Mecklenburg Police,6/3/2014 0:41,5300 BLOCK HUGHES DR,Charlotte,North Carolina,35.27043,-80.782393,35.27043:-80.782393
NON-AGGRAVATED ASSAULT,20140603-0035-02,Charlotte-Mecklenburg Police,6/3/2014 0:35,6300 BLOCK WOODBEND DR,Charlotte,North Carolina,35.199735,-80.738731,35.199735:-80.738731
LARCENY-OTHER,20140603-0030-00,Charlotte-Mecklenburg Police,6/3/2014 0:30,2900 BLOCK MT HOLLY-HUNTERSVILLE RD,Charlotte,North Carolina,35.319696,-80.953628,35.319696:-80.953628
SUSPICIOUS PERSON,O0603002900,Charlotte-Mecklenburg Police,6/3/2014 0:29,N CALDWELL ST & E 9TH ST,Charlotte,North Carolina,35.227571,-80.833569,35.227571:-80.833569
RESIDENTIAL BURGLARY,20140603-0002-02,Charlotte-Mecklenburg Police,6/3/2014 0:02,3700 BLOCK SIMMONS ST,Charlotte,North Carolina,35.228953,-80.90214,35.228953:-80.90214
SUSPICIOUS VEHICLE,O0603000003,Charlotte-Mecklenburg Police,6/3/2014 0:00,8800 BLOCK MOUNT HOLLY RD,Charlotte,North Carolina,35.285707,-80.954123,35.285707:-80.954123
