Descrip,CaseID,Agency,Date,Location,City,State,latitude,longitude,LatLong
POSSESSION OF MARIJUANA,20140603-2057-02,Charlotte-Mecklenburg Police,6/3/2014 20:57,1700 BLOCK STATESVILLE AV,Charlotte,North Carolina,35.246611,-80.836092,35.246611:-80.836092
COUNTERFEITING,20140603-2056-02,Charlotte-Mecklenburg Police,6/3/2014 20:56,4900 BLOCK SUNSET RD,Charlotte,North Carolina,35.307652,-80.845483,35.307652:-80.845483
MFG./SALE OF SYNTHETIC NARCOTIC,20140603-2053-01,Charlotte-Mecklenburg Police,6/3/2014 20:53,9600 BLOCK VINCA CR,Charlotte,North Carolina,35.300011,-80.726642,35.300011:-80.726642
NON-AGGRAVATED ASSAULT,20140603-2052-00,Charlotte-Mecklenburg Police,6/3/2014 20:52,6300 BLOCK ALBEMARLE RD,Charlotte,North Carolina,35.202442,-80.73831,35.202442:-80.73831
AGGRAVATED ASSAULT-OTHER WEAPON,20140603-2052-01,Charlotte-Mecklenburg Police,6/3/2014 20:52,2400 BLOCK CARMINE ST,Charlotte,North Carolina,35.266835,-80.841997,35.266835:-80.841997
SUSPICIOUS PERSON,O0603204503,Charlotte-Mecklenburg Police,6/3/2014 20:45,1400 BLOCK LILAC RD,Charlotte,North Carolina,35.191684,-80.84516,35.191684:-80.84516
SUSPICIOUS PERSON,O0603203700,Charlotte-Mecklenburg Police,6/3/2014 20:37,4500 BLOCK WOODLARK LN,Charlotte,North Carolina,35.178934,-80.80277,35.178934:-80.80277
LARCENY-OTHER,20140603-2037-02,Charlotte-Mecklenburg Police,6/3/2014 20:37,6600 BLOCK SOUTH BV,Charlotte,North Carolina,35.143557,-80.876452,35.143557:-80.876452
SUSPICIOUS PERSON,O0603203300,Charlotte-Mecklenburg Police,6/3/2014 20:33,200 BLOCK E TRADE ST,Charlotte,North Carolina,35.226218,-80.841966,35.226218:-80.841966
RESIDENTIAL BURGLARY,20140603-2030-00,Charlotte-Mecklenburg Police,6/3/2014 20:30,1100 BLOCK JORDANS POND LN,Charlotte,North Carolina,35.294003,-80.929102,35.294003:-80.929102
MFG./SALE OF DANGEROUS NON-NARCOTIC,20140603-2029-04,Charlotte-Mecklenburg Police,6/3/2014 20:29,600 BLOCK BRADFORD DR,Charlotte,North Carolina,35.254687,-80.897609,35.254687:-80.897609
SUSPICIOUS VEHICLE,O0603202703,Charlotte-Mecklenburg Police,6/3/2014 20:27,CORTLAND RD & CORTLAND RD E,Charlotte,North Carolina,35.162422,-80.850762,35.162422:-80.850762
LARCENY-OTHER,20140603-2023-00,Charlotte-Mecklenburg Police,6/3/2014 20:23,700 BLOCK WESTINGHOUSE BV,Charlotte,North Carolina,35.11725,-80.925738,35.11725:-80.925738
POSSESSION OF MARIJUANA,20140603-2020-04,Charlotte-Mecklenburg Police,6/3/2014 20:20,300 BLOCK FAIRWOOD AV,Charlotte,North Carolina,35.202842,-80.872248,35.202842:-80.872248
LARCENY-OTHER,20140603-2019-00,Charlotte-Mecklenburg Police,6/3/2014 20:19,2400 BLOCK BEATTIES FORD RD,Charlotte,North Carolina,35.267373,-80.853937,35.267373:-80.853937
SUSPICIOUS PERSON,O0603201601,Charlotte-Mecklenburg Police,6/3/2014 20:16,6500 BLOCK HAZELTON DR,Charlotte,North Carolina,35.145191,-80.833718,35.145191:-80.833718
SUSPICIOUS VEHICLE,O0603201002,Charlotte-Mecklenburg Police,6/3/2014 20:10,4100 BLOCK MCKEE RD,Charlotte,North Carolina,35.068979,-80.755681,35.068979:-80.755681
SUSPICIOUS VEHICLE,O0603200902,Charlotte-Mecklenburg Police,6/3/2014 20:09,4800 BLOCK ASHLEY PARK LN,Charlotte,North Carolina,35.146626,-80.830221,35.146626:-80.830221
NON-AGGRAVATED ASSAULT,20140603-2008-01,Charlotte-Mecklenburg Police,6/3/2014 20:08,8600 BLOCK WOOD LAKE CT,Charlotte,North Carolina,35.121099,-80.875217,35.121099:-80.875217
SUSPICIOUS PERSON,O0603200702,Charlotte-Mecklenburg Police,6/3/2014 20:07,3500 BLOCK CARMEL RD,Charlotte,North Carolina,35.12355,-80.817822,35.12355:-80.817822
SUSPICIOUS PERSON,O0603200301,Charlotte-Mecklenburg Police,6/3/2014 20:03,DUNHILL DR & DEARMON DR,Charlotte,North Carolina,35.223239,-80.797803,35.223239:-80.797803
SUSPICIOUS PERSON,O0603195904,Charlotte-Mecklenburg Police,6/3/2014 19:59,2100 BLOCK CUMBERLAND AV,Charlotte,North Carolina,35.196962,-80.843923,35.196962:-80.843923
VANDALISM,20140603-1956-03,Huntersville Police,6/3/2014 19:56,9100 BLOCK CAPSDALE CT,Charlotte,North Carolina,35.394669,-80.879723,35.394669:-80.879723
NON-AGGRAVATED ASSAULT,20140603-1954-02,Charlotte-Mecklenburg Police,6/3/2014 19:54,2700 BLOCK BRIDGEVILLE LN,Charlotte,North Carolina,35.369612,-80.741924,35.369612:-80.741924
LARCENY-OTHER,20140603-1949-01,Charlotte-Mecklenburg Police,6/3/2014 19:49,3000 BLOCK REID AV,Charlotte,North Carolina,35.20612,-80.897975,35.20612:-80.897975
LARCENY FROM AUTO,20140603-1943-01,Charlotte-Mecklenburg Police,6/3/2014 19:43,8600 BLOCK SWANK PL,Charlotte,North Carolina,35.362736,-80.857986,35.362736:-80.857986
SUSPICIOUS PERSON,O0603193601,Charlotte-Mecklenburg Police,6/3/2014 19:36,1900 BLOCK SANDHURST DR,Charlotte,North Carolina,35.229487,-80.780243,35.229487:-80.780243
NON-AGGRAVATED ASSAULT,20140603-1934-03,Charlotte-Mecklenburg Police,6/3/2014 19:34,1800 BLOCK GRIERS GROVE RD,Charlotte,North Carolina,35.282776,-80.860744,35.282776:-80.860744
LARCENY FROM AUTO,20140603-1931-03,Charlotte-Mecklenburg Police,6/3/2014 19:31,17900 BLOCK HALTON PARK DR,Charlotte,North Carolina,35.315462,-80.706089,35.315462:-80.706089
NON-AGGRAVATED ASSAULT,20140603-1929-04,Charlotte-Mecklenburg Police,6/3/2014 19:29,7300 BLOCK BALANCING ROCK CT,Charlotte,North Carolina,35.297287,-80.78263,35.297287:-80.78263
LARCENY-OTHER,20140603-1920-00,Charlotte-Mecklenburg Police,6/3/2014 19:20,9500 BLOCK SOUTH BV,Charlotte,North Carolina,35.107595,-80.882188,35.107595:-80.882188
SUSPICIOUS PERSON,O0603192001,Charlotte-Mecklenburg Police,6/3/2014 19:20,2900 BLOCK PARK RD,Charlotte,North Carolina,35.192467,-80.853007,35.192467:-80.853007
NON-AGGRAVATED ASSAULT,20140603-1917-01,Charlotte-Mecklenburg Police,6/3/2014 19:17,700 BLOCK N CALDWELL ST,Charlotte,North Carolina,35.228122,-80.832777,35.228122:-80.832777
SEX OFFENSE-OTHER,20140603-1912-02,Charlotte-Mecklenburg Police,6/3/2014 19:12,300 BLOCK STATE ST,Charlotte,North Carolina,35.24142,-80.862486,35.24142:-80.862486
SUSPICIOUS VEHICLE,O0603191000,Charlotte-Mecklenburg Police,6/3/2014 19:10,LAKE SPRING AV & BABBITT WY,Charlotte,North Carolina,35.351433,-80.87097,35.351433:-80.87097
SUSPICIOUS VEHICLE,O0603190900,Charlotte-Mecklenburg Police,6/3/2014 19:09,2800 BLOCK PROVIDENCE RD,Charlotte,North Carolina,35.172012,-80.809548,35.172012:-80.809548
SUSPICIOUS PERSON,O0603190502,Charlotte-Mecklenburg Police,6/3/2014 19:05,10000 BLOCK ALBEMARLE RD,Charlotte,North Carolina,35.20923,-80.674819,35.20923:-80.674819
VANDALISM,20140603-1904-04,Charlotte-Mecklenburg Police,6/3/2014 19:04,6200 BLOCK SPRINGBEAUTY DR,Charlotte,North Carolina,35.203643,-80.693643,35.203643:-80.693643
SUSPICIOUS PERSON,O0603185901,Charlotte-Mecklenburg Police,6/3/2014 18:59,500 BLOCK N POPLAR ST,Charlotte,North Carolina,35.231933,-80.84026,35.231933:-80.84026
SUSPICIOUS PERSON,O0603185202,Charlotte-Mecklenburg Police,6/3/2014 18:52,1900 BLOCK TERRYBROOK LN,Charlotte,North Carolina,35.24224,-80.784605,35.24224:-80.784605
NON-AGGRAVATED ASSAULT,20140603-1852-00,Charlotte-Mecklenburg Police,6/3/2014 18:52,5800 BLOCK TRYSTING RD,Charlotte,North Carolina,35.219449,-80.72294,35.219449:-80.72294
AGGRAVATED ASSAULT-GUN,20140603-1850-05,Charlotte-Mecklenburg Police,6/3/2014 18:50,3000 BLOCK MARNEY AV,Charlotte,North Carolina,35.196872,-80.805631,35.196872:-80.805631
NON-AGGRAVATED ASSAULT,20140603-1848-04,Charlotte-Mecklenburg Police,6/3/2014 18:48,2600 BLOCK BELLEFONTE DR,Charlotte,North Carolina,35.250289,-80.818902,35.250289:-80.818902
NON-AGGRAVATED ASSAULT,20140603-1847-00,Charlotte-Mecklenburg Police,6/3/2014 18:47,14400 BLOCK LAKE CROSSING DR,Charlotte,North Carolina,35.110392,-80.998794,35.110392:-80.998794
LARCENY FROM AUTO,20140603-1836-00,Charlotte-Mecklenburg Police,6/3/2014 18:36,9700 BLOCK VERONICA DR,Charlotte,North Carolina,35.236216,-80.664469,35.236216:-80.664469
LARCENY-SHOPLIFTING,20140603-1825-03,Huntersville Police,6/3/2014 18:25,16700 BLOCK BIRKDALE COMMONS PY,Charlotte,North Carolina,35.227087,-80.843127,35.227087:-80.843127
SUSPICIOUS PERSON,O0603182303,Charlotte-Mecklenburg Police,6/3/2014 18:23,BROOKRIDGE LN & PROVIDENCE RD,Charlotte,North Carolina,35.169249,-80.80572,35.169249:-80.80572
NON-AGGRAVATED ASSAULT,20140603-1818-00,Huntersville Police,6/3/2014 18:18,10200 BLOCK KERNS RD,Charlotte,North Carolina,35.374568,-80.873427,35.374568:-80.873427
LARCENY FROM AUTO,20140603-1816-01,Charlotte-Mecklenburg Police,6/3/2014 18:16,8200 BLOCK VINOY BV,Charlotte,North Carolina,35.303685,-80.770624,35.303685:-80.770624
SUSPICIOUS PERSON,O0603180301,Charlotte-Mecklenburg Police,6/3/2014 18:03,1000 BLOCK BILMARK AV,Charlotte,North Carolina,35.27091,-80.779551,35.27091:-80.779551
NON-AGGRAVATED ASSAULT,20140603-1757-01,Charlotte-Mecklenburg Police,6/3/2014 17:57,6200 BLOCK WINDSOR GATE LN,Charlotte,North Carolina,35.229467,-80.727,35.229467:-80.727
RESIDENTIAL BURGLARY,20140603-1753-01,Charlotte-Mecklenburg Police,6/3/2014 17:53,1800 BLOCK PEGRAM ST,Charlotte,North Carolina,35.233285,-80.813831,35.233285:-80.813831
SUSPICIOUS PERSON,O0603174804,Charlotte-Mecklenburg Police,6/3/2014 17:49,11200 BLOCK BRUSH HOLLOW RD,Charlotte,North Carolina,35.056642,-80.750946,35.056642:-80.750946
VANDALISM,20140603-1745-00,Charlotte-Mecklenburg Police,6/3/2014 17:45,3200 BLOCK PINEVILLE-MATTHEWS RD,Charlotte,North Carolina,35.098843,-80.782825,35.098843:-80.782825
NON-AGGRAVATED ASSAULT,20140603-1743-00,Charlotte-Mecklenburg Police,6/3/2014 17:43,6500 BLOCK HOOVER CR,Charlotte,North Carolina,35.271119,-80.940852,35.271119:-80.940852
NON-AGGRAVATED ASSAULT,20140603-1742-00,Charlotte-Mecklenburg Police,6/3/2014 17:42,6900 BLOCK BARRINGTON DR,Charlotte,North Carolina,35.240953,-80.744097,35.240953:-80.744097
SUSPICIOUS PERSON,O0603173803,Charlotte-Mecklenburg Police,6/3/2014 17:38,100 BLOCK WEST BV,Charlotte,North Carolina,35.212893,-80.858833,35.212893:-80.858833
SUSPICIOUS PERSON,O0603173700,Charlotte-Mecklenburg Police,6/3/2014 17:37,800 BLOCK GREENTREE DR,Charlotte,North Carolina,35.16839,-80.804932,35.16839:-80.804932
DRIVING WHILE IMPAIRED,20140603-1725-00,Charlotte-Mecklenburg Police,6/3/2014 17:25,5500 BLOCK JOSH BIRMINGHAM PY,Charlotte,North Carolina,35.227087,-80.843127,35.227087:-80.843127
VANDALISM,20140603-1724-03,Charlotte-Mecklenburg Police,6/3/2014 17:24,4400 BLOCK E INDEPENDENCE BV,Charlotte,North Carolina,35.196697,-80.769336,35.196697:-80.769336
LARCENY-OTHER,20140603-1723-02,Charlotte-Mecklenburg Police,6/3/2014 17:23,2100 BLOCK REXFORD RD,Charlotte,North Carolina,35.157642,-80.831804,35.157642:-80.831804
LARCENY-OTHER,20140603-1719-03,Charlotte-Mecklenburg Police,6/3/2014 17:19,2000 BLOCK ERIE ST,Charlotte,North Carolina,35.261224,-80.845006,35.261224:-80.845006
NON-AGGRAVATED ASSAULT,20140603-1718-01,Charlotte-Mecklenburg Police,6/3/2014 17:18,2200 BLOCK RICE PLANTERS RD,Charlotte,North Carolina,35.143557,-80.960851,35.143557:-80.960851
RESIDENTIAL BURGLARY,20140603-1718-00,Charlotte-Mecklenburg Police,6/3/2014 17:18,2900 BLOCK CROSS ROADS PL,Charlotte,North Carolina,35.207382,-80.905937,35.207382:-80.905937
SUSPICIOUS VEHICLE,O0603171201,Charlotte-Mecklenburg Police,6/3/2014 17:12,5100 BLOCK DOLPHIN LN,Charlotte,North Carolina,35.243987,-80.763449,35.243987:-80.763449
LARCENY-SHOPLIFTING,20140603-1704-03,Charlotte-Mecklenburg Police,6/3/2014 17:04,6800 BLOCK NORTHLAKE MALL DR,Charlotte,North Carolina,35.350015,-80.852338,35.350015:-80.852338
VANDALISM,20140603-1701-04,Charlotte-Mecklenburg Police,6/3/2014 17:01,700 BLOCK W SUGAR CREEK RD,Charlotte,North Carolina,35.268498,-80.793662,35.268498:-80.793662
